aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
Degeneration of dopaminergic neurons of the nigrostriatal pathway,890,KE,,,,,,,,N
Altered function of the brain,2022,KE,,,,,,,,N
Secondary genotoxicity,2006,KE,,,,,,,,N
"Occurrence, Cytoplasmic vacuolization (Renal tubule)",818,KE,,,,,,,,N
"Decrease, New cuticle secretion",2063,KE,,,,,,,,N
"Disruption, Intracellular calcium mobilization",1536,KE,,,,,,,,N
"Activation, FAS",116,KE,,,,,,,,N
"Reduced, HSD17B4 activity",1423,KE,,,,,,,,N
"Activation, LXR alpha",483,KE,,,,,,,,N
"Up Regulation, SCD-1",462,KE,,,,,,,,N
"Decreased, bicarbonate",1407,KE,,,,,,,,N
"Down Regulation, Gulcose-6-phosphate dehydrogenase",131,KE,,,,,,,,N
"KE6 : Depletion, Nitric Oxide",933,KE,,,,,,,,N
"Activation, 3-hydroxy-3-methylglutaryl-CoA reductase gene",1288,KE,,,,,,,,N
"Occurrence, Ballooning degeneration (hepatocyte)",835,KE,,,,,,,,N
"prolonged, elevation of serun CCK",1061,KE,,,,,,,,N
"Increased, Firbrosarcoma",1035,KE,,,,,,,,N
"Decrease, Translocator protein (TSPO)",289,KE,,,,,,,,N
"Treat, carbamazepine",1354,KE,,,,,,,,N
"Decrease, Glycolysis",1476,KE,,,,,,,,N
Olfactory epithelium degeneration,1872,KE,,,,,,,,N
"Increased, fibroblast proliferation and myofibroblast differentiation",1500,KE,,,,,,,,N
Activated BMP/TGF-beta pathway,2171,KE,,,,,,,,N
"Abnormal, neuroblast migration",2094,KE,,,,,,,,N
"Decrease, sox10",2197,KE,,,,,,,,N
Increased neurokinin A (NKA) by neuronal cells,1435,KE,,,,,,,,N
Fibroproliferative airway lesions,1587,KE,,,,,,,,N
"Increased, locomotion",622,KE,,,,,,,,N
ADAM17 expression induction,1937,KE,,,,,,,,N
Status epilepticus,1788,KE,,,,,,,,N
"Increase, angiogenesis",1376,KE,,,,,,,,N
"Depletion, Ectoplasmic specialization (ES)",2142,KE,,,,,,,,N
"Increase, developmental abnormalities",2050,KE,,,,,,,,N
"Decreased, Cortical granule release/distribution upon fertilization",533,KE,,,,,,,,N
"Increased, Catabolism of Muscle Protein",863,KE,,,,,,,,N
"Reduced fitness or even mortality, Acidosis, hypovolemic shock and organ dysfunction",1135,KE,,,,,,,,N
"Hyperplasia, ovarian stromal cells",1051,KE,,,,,,,,N
"Activation, Fibroblasts",1197,KE,,,,,,,,N
"Decreased LH release from Anterior Pituitary, Decreased GnRH stimulation of Anterior Pituitary Gonadotrophs",970,KE,,,,,,,,N
"Decreased, Long-term potentiation (LTP)",166,KE,,,,,,,,N
"Reduced, Meiotic prophase I/metaphase I transition, oocyte",694,KE,,,,,,,,N
"Upregulated, Spindle assembly checkpoint protein Mad2-oocyte",695,KE,,,,,,,,N
Activation of Angiogenic cytokines,2169,KE,,,,,,,,N
"Increase, Endothelial Dysfunction",2068,KE,,,,,,,,N
"Increase,  delay in oviposition",2056,KE,,,,,,,,N
"Decrease, Excitatory postsynaptic potential",1268,KE,,,,,,,,N
"Increase, pulmonate breathing",2077,KE,,,,,,,,N
decreased DNA methylation of tyrosine hydroxylase,1452,KE,,,,,,,,N
increased lipid accumulation,2130,KE,,,,,,,,N
"Increased, ER binding to T.F. to DNA (non-classical pathway)",1188,KE,,,,,,,,N
"Increased, Oocyte Atresia",1990,KE,,,,,,,,N
"Increase, mucous",1373,KE,,,,,,,,N
"Increased, prolactin exposure",1077,KE,,,,,,,,N
"Increased, lactotroph hyperplasia and hypertrophy",1081,KE,,,,,,,,N
"altered, inner ear development",1930,KE,,,,,,,,N
"Hyperplasia, ovarian epithelium",1052,KE,,,,,,,,N
Increase in inflammation,1633,KE,,,,,,,,N
Impaired inguinoscrotal testicular descent phase,1615,KE,,,,,,,,N
"Formation, Liver tumor",347,KE,,,,,,,,N
Decrease of GABAergic interneurons,851,KE,,,,,,,,N
"Decreased, Glomerular filtration",819,KE,,,,,,,,N
"Disruption, Sarcomere assembly",1537,KE,,,,,,,,N
"Activation, SCD-1",258,KE,,,,,,,,N
"Inhibit, voltage-gated sodium channel",1353,KE,,,,,,,,N
"Reduced, fatty acid beta oxidation",1424,KE,,,,,,,,N
"Inhibition, SREBP1c",878,KE,,,,,,,,N
"Increase, RBC congestion in liver",246,KE,,,,,,,,N
"KE7 : Impaired, Vasodilation",937,KE,,,,,,,,N
Perturbation of cholesterol,1289,KE,,,,,,,,N
"Occurrence, Cytoplasmic vacuolization (kupffer cell)",837,KE,,,,,,,,N
"Increased, Cellular proliferation / hyperplasia of acinar cells",1062,KE,,,,,,,,N
"Increased, liposarcoma",1036,KE,,,,,,,,N
Impaired mechanotransduction of pericytes,1946,KE,,,,,,,,N
"Decreased, 5-HT3",1401,KE,,,,,,,,N
"Activation, 5-HT2A (Serotonin 2A)",1336,KE,,,,,,,,N
Activated Wnt/Frizzled pathway,2172,KE,,,,,,,,N
"Decrease, mbp",2198,KE,,,,,,,,N
"Antagonism, Estrogen receptor",112,KE,,,,,,,,N
ACE2 increased shedding,1938,KE,,,,,,,,N
"Increased, tumor growth",1971,KE,,,,,,,,N
Pulmonary inflammation,2010,KE,,,,,,,,N
"Impaired, blood testis barrier",2080,KE,,,,,,,,N
"Increased, FA Influx",465,KE,,,,,,,,N
"Altered, Formation of cortical envelope",534,KE,,,,,,,,N
prostatic intraepithelial neoplasia,2136,KE,,,,,,,,N
"Osteoporosis and vascular calcification, Bone deterioration",1151,KE,,,,,,,,N
Airway inflammation,2086,KE,,,,,,,,N
"Ovulation of oocytes Reduced, Delayed, or Blocked, Decrease or delay in LH surge required for ovulation ",971,KE,,,,,,,,N
"Increase, the risk of acute respiratory failure",1748,KE,,,,,,,,N
"Reduced, Presynaptic release of glutamate",383,KE,,,,,,,,N
"Increased, cyclic adenosine monophosphate",693,KE,,,,,,,,N
"Increased, Chromosome misseggregation",696,KE,,,,,,,,N
"Decrease, Abdominal muscle contraction",993,KE,,,,,,,,N
decreased methylation of dopamine transporter promoter,1453,KE,,,,,,,,N
Increased pro-inflammatory cytokine expression,2132,KE,,,,,,,,N
"Increased, Proliferation (Endothelial cells) ",1189,KE,,,,,,,,N
"Increase, mucosal blood flow",1374,KE,,,,,,,,N
"Hyperplasia, Mammary gland",1078,KE,,,,,,,,N
"Reduced, Hearing",1008,KE,,,,,,,,N
"Decreased, Renal plasma flow",820,KE,,,,,,,,N
"Synthesis, De Novo FA",89,KE,,,,,,,,N
"Activation, MTTP",879,KE,,,,,,,,N
"Up Regulation, FAS",463,KE,,,,,,,,N
"Increase, Liver and splenic hemosiderosis",161,KE,,,,,,,,N
"KE8 : Increase, Vascular Resistance",951,KE,,,,,,,,N
Glutathione homeostasis,1290,KE,,,,,,,,N
"Induction, Microvesicular fat",838,KE,,,,,,,,N
"Increased, hemagiosarcoma",1037,KE,,,,,,,,N
"Increased, RDX dose",1357,KE,,,,,,,,N
Pericyte dysfunction,1947,KE,,,,,,,,N
"Activate, PLC (Phospholipase C)",1337,KE,,,,,,,,N
Emphysema,2011,KE,,,,,,,,N
"Up Regulation, LDLR (low density lipoprotein receptor)",466,KE,,,,,,,,N
"Abnormal, Sperm penetration (polyspermy)",535,KE,,,,,,,,N
"Decrease, E2 blood concentrations at hypothalamus",1056,KE,,,,,,,,N
"Decrease,  hatching of egg",2057,KE,,,,,,,,N
"Increase, platelet aggregation",1375,KE,,,,,,,,N
"Decreased, Sodium reabsorption",821,KE,,,,,,,,N
"Increased, intracellular chloride (Cl-)",1322,KE,,,,,,,,N
"Increased, ApoB100",880,KE,,,,,,,,N
"Decreased, Ketogenesis",477,KE,,,,,,,,N
"N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number",173,KE,,,,,,,,N
"KE5 : Decrease, AKT/eNOS activity",973,KE,,,,,,,,N
"Formation, Mallory body",839,KE,,,,,,,,N
"Decrease, Leaf cell mitosis",1478,KE,,,,,,,,N
Increased ACE2 expression,1948,KE,,,,,,,,N
"Increase, inositol triphosphate",1338,KE,,,,,,,,N
Activated AKT/ERK/PI3K pathway,2173,KE,,,,,,,,N
Airway remodeling,2013,KE,,,,,,,,N
"Increased, LDL uptake",467,KE,,,,,,,,N
"Altered, Chromosome number (polyploid) zygote",536,KE,,,,,,,,N
"Increased, Non-genomic signaling",1191,KE,,,,,,,,N
"Decreased, Renal ability to dilute urine",825,KE,,,,,,,,N
"Inactive, membrane depolarization",1356,KE,,,,,,,,N
"Increased, Triglyceride",881,KE,,,,,,,,N
"Occurrence, Cytoplasmic vacuolization (Bile duct cell)",836,KE,,,,,,,,N
Inhibition VEGF/VEGFR pathway,2174,KE,,,,,,,,N
"Decrease, leukocyte adherence",1377,KE,,,,,,,,N
"Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)",470,KE,,,,,,,,N
"Activate, calmodulin",1340,KE,,,,,,,,N
Acetylcholinesterase (AchE) Inhibition,12,MIE,,,,,,,,N
Binding to (interferes with) topoisomerase II enzyme,1252,MIE,,,,,,,,N
"Increase, Oxygen-evolving complex damage",1865,MIE,,,,,,,,N
"Activation, PARP1",2030,MIE,,,,,,,,N
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)",619,MIE,,,,,,,,N
"Inhibition, 5α-reductase",1617,MIE,,,,,,,,N
Binding to ACE2,1739,MIE,,,,,,,,N
"Activation of mitogen-activated protein kinase kinase, extracellular signal-regulated kinase 1/2",2146,MIE,,,,,,,,N
Non-coding RNA expression profile alteration,2007,MIE,,,,,,,,N
ROS generation from photoactivated chemicals,1592,MIE,,,,,,,,N
"Formation, Pro-mutagenic DNA Adducts",373,MIE,,,,,,,,N
systemic inflammation leading to hepatic steatosis,486,MIE,,,,,,,,N
"Increase, Alcohol dehydrogenase",2045,MIE,,,,,,,,N
"Alkylation, DNA",97,MIE,,,,,,,,N
"Inhibition, Antgonism of NE receptor",849,MIE,,,,,,,,N
"Increased, Binding of chemicals to 2u (serum)",714,MIE,,,,,,,,N
"impaired, ion channels",697,MIE,,,,,,,,N
"Antagonism, Androgen receptor",26,MIE,,,,,,,,N
"Activation, Androgen receptor",785,MIE,,,,,,,,N
"Agonism, Androgen receptor",25,MIE,,,,,,,,N
"N/A, Androgen receptor, Antagonism",27,MIE,,,,,,,,N
"Antagonism, Smoothened receptor",2027,MIE,,,,,,,,N
"Binding of antagonist, PPAR alpha",998,MIE,,,,,,,,N
"Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone",1134,MIE,,,,,,,,N
Decompartmentalization,1258,MIE,,,,,,,,N
"reduction in ovarian granulosa cells, Aromatase (Cyp19a1)",408,MIE,,,,,,,,N
"Inhibition of Aromatase Enzyme, Chemical exposure during critical window of estrous cycle between diestrus 2 and proestrus inhibits aromatase conversion of testosterone to estradiol",964,MIE,,,,,,,,N
"Inhibition, Aromatase",36,MIE,,,,,,,,N
"modulation, sodium channel",598,MIE,,,,,,,,N
"Activation, beta-2 adrenergic receptor",1038,MIE,,,,,,,,N
"Binding of agonist, Ionotropic glutamate receptors",875,MIE,,,,,,,,N
"Binding, Thiol/seleno-proteins involved in protection against oxidative stress",1487,MIE,,,,,,,,N
Influenza A Virus (IAV) binds sialic acid glycan receptor,2158,MIE,,,,,,,,N
Induced dysregulation of ACE2 ,1740,MIE,,,,,,,,N
Binding to estrogen receptor (ER)-α in immune cells,1710,MIE,,,,,,,,N
"Binding, extracellular matrix protein laminin",2109,MIE,,,,,,,,N
"Binding at picrotoxin site, iGABAR chloride channel",667,MIE,,,,,,,,N
"Bulky DNA adducts, increase",1879,MIE,,,,,,,,N
Activation of metabotropic glutamate receptor,2036,MIE,,,,,,,,N
"Inhibition, Ca++ ATPase",51,MIE,,,,,,,,N
Inhibition of Ceramide Synthase ,2023,MIE,,,,,,,,N
"Binding, Tubulin",718,MIE,,,,,,,,N
"Inhibition, Chitin synthase 1",1522,MIE,,,,,,,,N
"Inhibition, Chitinase ",1806,MIE,,,,,,,,N
"Inhibition, Chitobiase",1807,MIE,,,,,,,,N
"Inhibition, Bile Salt Export Pump (ABCB11)",41,MIE,,,,,,,,N
"Binding of antagonist, NMDA receptors",201,MIE,,,,,,,,N
"Increase, Cytotoxicity (hepatocytes)",786,MIE,,,,,,,,N
Ryanodine receptor activation,2186,MIE,,,,,,,,N
"Binding, Thyroid binding globulin in serum",1831,MIE,,,,,,,,N
"Binding, Transthyretin in serum",957,MIE,,,,,,,,N
"Activation, Constitutive androstane receptor",715,MIE,,,,,,,,N
"Covalent Binding, Protein",396,MIE,,,,,,,,N
"Inhibition, Cyclooxygenase 1 activity",1103,MIE,,,,,,,,N
"Inhibition, Cyclooxygenase activity",79,MIE,,,,,,,,N
CYP2E1 Activation,1508,MIE,,,,,,,,N
"Inhibition, cytochrome oxidase",1840,MIE,,,,,,,,N
"Increase, Cytotoxicity (club cells)",770,MIE,,,,,,,,N
"Increase, Cytotoxicity (tubular epithelial cells)",783,MIE,,,,,,,,N
"Decreased, Androgen receptor activity",742,MIE,,,,,,,,N
"Fibrinolysis, decreased",1866,MIE,,,,,,,,N
"Inhibition, Deiodinase 1",1009,MIE,,,,,,,,N
"Inhibition, Deiodinase 2",1002,MIE,,,,,,,,N
peroxisome proliferator activated receptor promoter demethylation,228,MIE,,,,,,,,N
Deposition of Energy,1686,MIE,,,,,,,,N
Deposition of Ionizing Energy,1550,MIE,,,,,,,,N
"Inhibition, VegfR2",305,MIE,,,,,,,,N
"Increase, DNA methyltransferase inhibition",1619,MIE,,,,,,,,N
"Decrease, Tyrosine",2051,MIE,,,,,,,,N
"Inhibition, Dual oxidase",1156,MIE,,,,,,,,N
Prolonged TLR9 activation,1842,MIE,,,,,,,,N
"prepubertal increase, Estrogen receptor (ER) activity",1064,MIE,,,,,,,,N
"Increase, Ecdysone receptor agonism",103,MIE,,,,,,,,N
"Activation, EGFR",941,MIE,,,,,,,,N
Endocytotic lysosomal uptake,1539,MIE,,,,,,,,N
"Agonism, Estrogen receptor",111,MIE,,,,,,,,N
Estrogen receptor alpha inactivation,2126,MIE,,,,,,,,N
"Activation, Estrogen receptor",1181,MIE,,,,,,,,N
"Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel ",593,MIE,,,,,,,,N
"Increase, Formation of DNA photoproducts",1765,MIE,,,,,,,,N
Frustrated phagocytosis,1668,MIE,,,,,,,,N
protein-coupled estrogen receptor 1 (GPER) activation,2029,MIE,,,,,,,,N
"Glucocorticoid Receptor Agonist, Activation",494,MIE,,,,,,,,N
"Activation, Glucocorticoid Receptor",122,MIE,,,,,,,,N
"Activation, Glutamate-gated chloride channel",760,MIE,,,,,,,,N
"Activation, Glutamate-gated chloride channels",1018,MIE,,,,,,,,N
"Conjugation, GSH",2131,MIE,,,,,,,,N
GSK3beta inactivation,1647,MIE,,,,,,,,N
Helicobacter pylori infection,1412,MIE,,,,,,,,N
"Activation, Hepatic nuclear receptor(s)",1157,MIE,,,,,,,,N
hERG channel blockade,2099,MIE,,,,,,,,N
"Antagonism, Histamine Receptor (H2)",638,MIE,,,,,,,,N
"Inhibition, HMG-CoA reductase",804,MIE,,,,,,,,N
"Suppression, HNF4alpha",461,MIE,,,,,,,,N
"Inhibition, 4-hydroxyphenyl-pyruvate dioxygenase (HPPD) enzyme",766,MIE,,,,,,,,N
"Inhibition, IKK complex",1574,MIE,,,,,,,,N
benzoquinone imine and acylglucuronide metabolites,1814,MIE,,,,,,,,N
Impaired IL-1R1 signaling in T cell,1700,MIE,,,,,,,,N
Increased (ectopic) all-trans retinoic acid concentration,1888,MIE,,,,,,,,N
"Increase, Dopaminergic activity",746,MIE,,,,,,,,N
Increased LCN2/iron complex  binds to SLC22A17 receptor in neuron ,2148,MIE,,,,,,,,N
"Increase, TNF",1950,MIE,,,,,,,,N
Increases in cellular reactive oxygen species,1940,MIE,,,,,,,,N
11β-hydroxylase inhibition,1796,MIE,,,,,,,,N
"Inhibition, Cytochrome P450 enzyme (CYP17A1) activity",1609,MIE,,,,,,,,N
"Inhibition, 5α-reductase activity",790,MIE,,,,,,,,N
Inhibition of ALDH1A (RALDH),1880,MIE,,,,,,,,N
"Inhibition, Calcineurin Activity",980,MIE,,,,,,,,N
"Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)",888,MIE,,,,,,,,N
"CYP7B activity, inhibition",1386,MIE,,,,,,,,N
Inhibition of cystathionine beta-synthase,1657,MIE,,,,,,,,N
"Inhibition, Fatty Acid Beta Oxidation",1490,MIE,,,,,,,,N
Inhibition of Fyna,1884,MIE,,,,,,,,N
"Inhibition, Na+/I- symporter (NIS)",424,MIE,,,,,,,,N
Inhibition of JAK3,1715,MIE,,,,,,,,N
Thiol group of chemicals interact with sulfuhydryl groups of proteins to form thiol adducts,1462,MIE,,,,,,,,N
Inhibition of mitochondrial DNA polymerase gamma (Pol gamma),1481,MIE,,,,,,,,N
Inhibition of N-linked glycosylation,1604,MIE,,,,,,,,N
"Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme",724,MIE,,,,,,,,N
Retinaldehyde dehydrogenase inhibition,1637,MIE,,,,,,,,N
"Thyroperoxidase, Inhibition",279,MIE,,,,,,,,N
Inhibition of tyrosinase ,1627,MIE,,,,,,,,N
Substance interaction with the lung resident cell membrane components,1495,MIE,,,,,,,,N
"Decrease, Intracellular pH",867,MIE,,,,,,,,N
"Inhibition, Iodotyrosine deiodinase (IYD)",1152,MIE,,,,,,,,N
"Activation, ionotropic GABA Receptor chloride channel",762,MIE,,,,,,,,N
"Activation, Juvenile hormone receptor",1205,MIE,,,,,,,,N
"Activation, 5HT2c",9,MIE,,,,,,,,N
"Decrease, 20-hydroxyecdysone",2058,MIE,,,,,,,,N
"Blockade, L-Type Calcium Channels ",1529,MIE,,,,,,,,N
"Activation, Latent Transforming Growth Factor Beta 1",1468,MIE,,,,,,,,N
Inhibition of lung surfactant function,1672,MIE,,,,,,,,N
"Antagonism,LH receptor",1691,MIE,,,,,,,,N
"Activation, LXR",167,MIE,,,,,,,,N
"Increased, glucocorticoid receptor activity",1396,MIE,,,,,,,,N
Binding of microtubule stabilizing agents (MSA) to microtubules,1580,MIE,,,,,,,,N
"Increase, Mitochondrial ATP synthase antagonism",1785,MIE,,,,,,,,N
"Increase, Mitochondrial complex III antagonism",1542,MIE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Increased corticosterone",653,MIE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Alterations in the fetal testis proteome",661,MIE,,,,,,,,N
"Decreased Cholesterol, Decreased De Novo Biosynthesis of Choleseterol",642,MIE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Increased estradiol",658,MIE,,,,,,,,N
"Stimulation of adult Leydig cells via the Adrenal Corticosterone, Increased Glucocorticoid",650,MIE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Hypermethylation in the fetal testis",662,MIE,,,,,,,,N
"Decreased steroidogenesis, Proteomic alterations in the adult Leydig cell",640,MIE,,,,,,,,N
Mu Opioid Receptor Agonism,1425,MIE,,,,,,,,N
"Activation, NADPH Oxidase",1174,MIE,,,,,,,,N
"Accumulation, Biological membranes",46,MIE,,,,,,,,N
NFE2/Nrf2 repression,1417,MIE,,,,,,,,N
"Activation, NRF2",478,MIE,,,,,,,,N
"Activation, Nicotinic acetylcholine receptor",559,MIE,,,,,,,,N
"Activation, PXR/SXR",245,MIE,,,,,,,,N
"Suppression, Constitutive androstane receptor, NR1l3",456,MIE,,,,,,,,N
"Reduced, PTGS1 function",1402,MIE,,,,,,,,N
"Reduced, PTGS2 function",1408,MIE,,,,,,,,N
"Inhibition, organic anion transporter 1 (OAT1)",877,MIE,,,,,,,,N
"N/A, Parent compound is converted to the reactive metabolite and forms free radicals leading to oxidation of heme iron(II) in hemoglobin to iron(III)",213,MIE,,,,,,,,N
"Inhibition, Pendrin",1155,MIE,,,,,,,,N
"Decreased, PPAR-alpha activation",231,MIE,,,,,,,,N
Inactivation of PPARγ,1270,MIE,,,,,,,,N
"Inhibition, Phospholipase A",828,MIE,,,,,,,,N
"Reduced, presynaptic neuron 2 activity",1413,MIE,,,,,,,,N
"Inhibition, Prolyl hydroxylases",798,MIE,,,,,,,,N
"Alkylation, Protein",244,MIE,,,,,,,,N
"Binding of substrate, endocytic receptor",1486,MIE,,,,,,,,N
"Increase, Uncoupling of photophosphorylation",1471,MIE,,,,,,,,N
"Increase, Sulfonylurea receptor binding",1525,MIE,,,,,,,,N
Serotonin 1A Receptor Agonism,1431,MIE,,,,,,,,N
"Inhibition, sodium channel",584,MIE,,,,,,,,N
"Stimulation, TLR7/8",1706,MIE,,,,,,,,N
"Succinate dehydrogenase, inhibited",2118,MIE,,,,,,,,N
Inhibition of Sulfotransferase E1 (SULT1E1),2155,MIE,,,,,,,,N
"Activation, Long term AHR receptor driven direct and indirect gene expression changes",165,MIE,,,,,,,,N
"Inhibition, TBX1",1680,MIE,,,,,,,,N
"Antagonism, Thyroid Receptor ",1656,MIE,,,,,,,,N
Toll-like receptor 4 activation,1792,MIE,,,,,,,,N
Trypsin inhibition,1720,MIE,,,,,,,,N
"Inhibition, Deiodinase 3",1153,MIE,,,,,,,,N
"Decrease, Coupling of oxidative phosphorylation",1446,MIE,,,,,,,,N
"Unknown, MIE",1114,MIE,,,,,,,,N
"modulation, Unknown",801,MIE,,,,,,,,N
"Activation, Pregnane-X receptor, NR1l2",239,MIE,,,,,,,,N
"Increase, Urinary bladder calculi",793,MIE,,,,,,,,N
"Increase, CNS Neural cell death",2195,MIE,,,,,,,,N
"TRPA1 activation, TRPA1 Receptor",1215,MIE,,,,,,,,N
"Inhibition, Inhibition of Dopamine-beta-hydroxylase",526,MIE,,,,,,,,N
Interaction of α-diketones with arginine residues,1584,MIE,,,,,,,,N
Inhibition of 11β-HSD ,1799,MIE,,,,,,,,N
"Disruption, Estrogen receptor",2141,MIE,,,,,,,,N
"Increased, gene expression of AR",2143,MIE,,,,,,,,N
"Uncoupling of oxidative phosphorylation, Reduced ability to generate ATP",1138,MIE,,,,,,,,N
Direct mitochondrial inhibition,1260,MIE,,,,,,,,N
Inositol triphosphate receptor activation,2037,MIE,,,,,,,,N
Protein Adduct Formation,1509,MIE,,,,,,,,N
"Bradykinin system, hyperactivated",1867,MIE,,,,,,,,N
chronic high fat diet,1454,MIE,,,,,,,,N
Chronic reactive oxygen species,1753,MIE,,,,,,,,N
Mitochondrial Complex IV inhibition,1543,MIE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists",654,MIE,,,,,,,,N
"Decreased Cholesterol, Decreased Uptake of Lipoproteins",643,MIE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Activation by other estradiol agonists",659,MIE,,,,,,,,N
"Activation, NR1H4",479,MIE,,,,,,,,N
"Inhibition, PPAR alpha",468,MIE,,,,,,,,N
"Decreased, PPAR-beta activation",232,MIE,,,,,,,,N
"Anticoagulant rodenticide interferes with carboxylation of Gla proteins in bone, Impairment of post-translational modification (carboxylation) of osteocalcin",1169,MIE,,,,,,,,N
narcosis,1259,MIE,,,,,,,,N
Mitochondrial Complex V inhibition,1544,MIE,,,,,,,,N
"Decreased Cholesterol, Decreased Transport of Cholesterol to the Inner Mitochondrial Membrane",644,MIE,,,,,,,,N
Inhibition GABAA receptor,2039,MIE,,,,,,,,N
"Opening, voltage-gated calcium channels",2187,MIE,,,,,,,,N
Binding of inhibitor to mitochondrial complex III,1653,MIE,,,,,,,,N
